Longitude,Latitude,Trap,Station,Tavg,WetBulb,PrecipTotal,AvgSpeed,Heat,Cool,Tmax,Tmin,DewPoint,ResultSpeed,ResultDir,StnPressure,SeaLevel,Rain,Sunrise,Sunset,WnvPresent,Species_CULEX ERRATICUS,Species_CULEX PIPIENS,Species_CULEX PIPIENS/RESTUANS,Species_CULEX RESTUANS,Species_CULEX SALINARIUS,Species_CULEX TARSALIS,Species_CULEX TERRITANS,Year,Month,Day
-87.676709,41.688324,T086,2.0,82.0,69.0,0.0,6.7,0.0,17.0,91.0,72.0,62.0,6.4,19.0,29.31,29.94,0.0,521.0,1821.0,1,0,1,0,0,0,0,0,2007,09,05
-87.599862,41.673408,T115,2.0,82.0,69.0,0.0,6.7,0.0,17.0,91.0,72.0,62.0,6.4,19.0,29.31,29.94,0.0,521.0,1821.0,1,0,1,0,0,0,0,0,2007,09,05
-87.66634300000003,41.822536,T074,2.0,82.0,69.0,0.0,6.7,0.0,17.0,91.0,72.0,62.0,6.4,19.0,29.31,29.94,0.0,521.0,1821.0,1,0,1,0,0,0,0,0,2007,09,05
-87.536497,41.702724,T103,2.0,82.0,69.0,0.0,6.7,0.0,17.0,91.0,72.0,62.0,6.4,19.0,29.31,29.94,0.0,521.0,1821.0,1,0,1,0,0,0,0,0,2007,09,05
-87.64886,41.862292,T091,2.0,82.0,69.0,0.0,6.7,0.0,17.0,91.0,72.0,62.0,6.4,19.0,29.31,29.94,0.0,521.0,1821.0,1,0,0,1,0,0,0,0,2007,09,05
-87.648064,41.721474,T085,2.0,82.0,69.0,0.0,6.7,0.0,17.0,91.0,72.0,62.0,6.4,19.0,29.31,29.94,0.0,521.0,1821.0,1,0,1,0,0,0,0,0,2007,09,05
-87.72460799999998,41.662014,T135,2.0,82.0,69.0,0.0,6.7,0.0,17.0,91.0,72.0,62.0,6.4,19.0,29.31,29.94,0.0,521.0,1821.0,1,0,1,0,0,0,0,0,2007,09,05
-87.677512,41.731922,T096,2.0,82.0,69.0,0.0,6.7,0.0,17.0,91.0,72.0,62.0,6.4,19.0,29.31,29.94,0.0,521.0,1821.0,1,0,0,1,0,0,0,0,2007,09,05
-87.648064,41.721474,T085,2.0,82.0,69.0,0.0,6.7,0.0,17.0,91.0,72.0,62.0,6.4,19.0,29.31,29.94,0.0,521.0,1821.0,0,0,0,1,0,0,0,0,2007,09,05
-87.64997,41.723195,T089,2.0,82.0,69.0,0.0,6.7,0.0,17.0,91.0,72.0,62.0,6.4,19.0,29.31,29.94,0.0,521.0,1821.0,0,0,0,1,0,0,0,0,2007,09,05
-87.64997,41.723195,T089,2.0,82.0,69.0,0.0,6.7,0.0,17.0,91.0,72.0,62.0,6.4,19.0,29.31,29.94,0.0,521.0,1821.0,0,0,1,0,0,0,0,0,2007,09,05
-87.666901,41.868077,T090,2.0,82.0,69.0,0.0,6.7,0.0,17.0,91.0,72.0,62.0,6.4,19.0,29.31,29.94,0.0,521.0,1821.0,0,0,0,1,0,0,0,0,2007,09,05
-87.72460799999998,41.662014,T135,2.0,82.0,69.0,0.0,6.7,0.0,17.0,91.0,72.0,62.0,6.4,19.0,29.31,29.94,0.0,521.0,1821.0,0,0,0,1,0,0,0,0,2007,09,05
-87.707973,41.682587,T158,2.0,82.0,69.0,0.0,6.7,0.0,17.0,91.0,72.0,62.0,6.4,19.0,29.31,29.94,0.0,521.0,1821.0,0,0,0,1,0,0,0,0,2007,09,05
-87.707973,41.682587,T158,2.0,82.0,69.0,0.0,6.7,0.0,17.0,91.0,72.0,62.0,6.4,19.0,29.31,29.94,0.0,521.0,1821.0,0,0,1,0,0,0,0,0,2007,09,05
-87.61425799999998,41.725517,T162,2.0,82.0,69.0,0.0,6.7,0.0,17.0,91.0,72.0,62.0,6.4,19.0,29.31,29.94,0.0,521.0,1821.0,0,0,1,0,0,0,0,0,2007,09,05
-87.69629300000003,41.869107,T088,2.0,82.0,69.0,0.0,6.7,0.0,17.0,91.0,72.0,62.0,6.4,19.0,29.31,29.94,0.0,521.0,1821.0,0,0,0,1,0,0,0,0,2007,09,05
-87.666014,41.720848,T094,2.0,82.0,69.0,0.0,6.7,0.0,17.0,91.0,72.0,62.0,6.4,19.0,29.31,29.94,0.0,521.0,1821.0,0,0,1,0,0,0,0,0,2007,09,05
-87.69629300000003,41.869107,T088,2.0,82.0,69.0,0.0,6.7,0.0,17.0,91.0,72.0,62.0,6.4,19.0,29.31,29.94,0.0,521.0,1821.0,0,0,1,0,0,0,0,0,2007,09,05
-87.675088,41.719059,T161,2.0,82.0,69.0,0.0,6.7,0.0,17.0,91.0,72.0,62.0,6.4,19.0,29.31,29.94,0.0,521.0,1821.0,0,0,1,0,0,0,0,0,2007,09,05
-87.598865,41.692555,T084,2.0,82.0,69.0,0.0,6.7,0.0,17.0,91.0,72.0,62.0,6.4,19.0,29.31,29.94,0.0,521.0,1821.0,0,0,1,0,0,0,0,0,2007,09,05
-87.68826700000002,41.903002,T160,2.0,82.0,69.0,0.0,6.7,0.0,17.0,91.0,72.0,62.0,6.4,19.0,29.31,29.94,0.0,521.0,1821.0,0,0,1,0,0,0,0,0,2007,09,05
-87.77653199999997,41.781416,T071,2.0,82.0,69.0,0.0,6.7,0.0,17.0,91.0,72.0,62.0,6.4,19.0,29.31,29.94,0.0,521.0,1821.0,0,0,0,1,0,0,0,0,2007,09,05
-87.60088,41.773215,T073,2.0,82.0,69.0,0.0,6.7,0.0,17.0,91.0,72.0,62.0,6.4,19.0,29.31,29.94,0.0,521.0,1821.0,0,0,0,1,0,0,0,0,2007,09,05
-87.60088,41.773215,T073,2.0,82.0,69.0,0.0,6.7,0.0,17.0,91.0,72.0,62.0,6.4,19.0,29.31,29.94,0.0,521.0,1821.0,0,0,1,0,0,0,0,0,2007,09,05
-87.677512,41.731922,T096,2.0,82.0,69.0,0.0,6.7,0.0,17.0,91.0,72.0,62.0,6.4,19.0,29.31,29.94,0.0,521.0,1821.0,0,0,1,0,0,0,0,0,2007,09,05
-87.64886,41.862292,T091,2.0,82.0,69.0,0.0,6.7,0.0,17.0,91.0,72.0,62.0,6.4,19.0,29.31,29.94,0.0,521.0,1821.0,0,0,1,0,0,0,0,0,2007,09,05
-87.676709,41.688324,T086,2.0,82.0,69.0,0.0,6.7,0.0,17.0,91.0,72.0,62.0,6.4,19.0,29.31,29.94,0.0,521.0,1821.0,0,0,0,1,0,0,0,0,2007,09,05
